time,days_in_week,Tair,Tsoil,RH,VPD,P,GR,Rn,PAR,H,LE,NEP,Reco,GPP
-,-,degC,degC,%,hPa,mm,MJ m-2 week-1,MJ m-2 week-1,MJ m-2 week-1,MJ m-2 week-1,MJ m-2 week-1,g(C) m-2 week-1,g(C) m-2 week-1,g(C) m-2 week-1
0,3,-3.610222222,0.777314815,95.94560185,0.162804107,0.2,3.149344103,0.313796253,1.399305339,2.329713438,0.50444502,-1.872568996,1.794456919,-0.078112078
1,7,-1.323032242,0.255555556,93.9621121,0.376255595,4.4,24.62134412,1.886861938,10.79024425,-3.419459909,0.586810692,-3.976414081,4.061916151,0.08550207
2,7,-0.053958333,0.474503968,93.00914016,0.456146704,11.5,18.87360731,-2.056757748,8.063212893,-8.178636642,0.979648812,-3.700705895,4.104398878,0.403692983
3,7,-6.331552083,0.440674603,93.10221677,0.275538563,5.7,30.23915705,-5.600068694,13.48302894,-4.388153999,1.022121765,-3.415758916,3.669422556,0.25366364
4,7,5.920890873,2.07797619,81.09601983,1.911110725,4.1,31.93787089,9.090017963,13.82011352,-18.68537241,6.549101284,-4.082416501,4.369617673,0.287201171
5,7,4.421172123,3.722123016,87.40685169,1.157001159,11.5,31.99776328,9.415667123,13.80879788,-8.352013335,7.114560625,-4.068947991,4.41548517,0.34653718
6,7,3.655886409,3.466071429,82.76204167,1.546725039,10.3,41.51621346,13.75559936,17.76910037,-7.544903468,7.552839653,-3.859824913,4.059917334,0.200092421
7,7,2.522688492,3.183134921,91.41040625,0.685906853,9.4,23.59171138,10.14580963,10.4968814,-2.87190642,4.674019585,-3.678337398,3.875580411,0.197243014
8,7,1.638243552,2.919146825,87.66193552,1.047471111,10.3,49.34142498,16.68047312,20.95852265,-2.636699693,6.459636778,-3.468551984,3.764234068,0.295682083
9,7,1.595267857,2.763095238,93.05742808,0.531167175,23.4,40.67508705,17.16081695,17.56450819,2.184883724,5.32597287,-3.142379307,3.563374884,0.420995577
10,7,1.313535714,3.08343254,95.05856399,0.362743832,4,35.79304749,18.68248002,15.66145001,4.691853674,5.393375038,-3.115002436,3.523953061,0.408950625
11,7,2.09808755,3.371825397,86.78025546,1.169455225,6.6,67.49512768,29.79665854,28.35966503,5.630994345,8.859182511,-3.679352737,3.994009619,0.314656882
12,7,3.887125496,5.102678571,86.75449199,1.253854699,6.2,66.0089575,42.39594874,28.02004723,6.58155507,10.96554638,-4.751901078,5.160509639,0.40860856
13,7,8.493207837,7.815327381,73.51692708,3.415078912,2.3,98.26127457,51.72256544,41.36009543,11.78658171,12.89311998,-5.378606255,6.112015529,0.733409274
14,7,9.677296131,10.05128968,80.31682589,3.410456705,9.8,69.75047031,35.48826798,30.22034495,11.48826849,8.448931794,-6.704880554,7.612088892,0.907208339
15,7,9.257157738,9.810416667,85.96393188,2.014352097,25.8,74.93849628,44.01222408,32.1175407,4.540675761,15.47251006,-6.815668215,7.3540595,0.538391285
16,7,6.48362252,10.64305556,73.87635466,2.943680368,4.6,120.1233223,63.70923901,49.44509426,18.743515,18.86620769,-6.281997347,7.551300982,1.269303635
